old,new
高須１８６３番地１６,高須二丁目５番１７－６号
高須１８７４番地１４,高須二丁目１２番３１号
高須１８８３番地１１,高須二丁目１３番４７－１２号
高須１９０９番地５,高須二丁目３番５号
薊野１番地１,薊野東町８番３５号
薊野３４番地５,薊野東町１番９－１０号
薊野７１番地１８,薊野東町３番５３号
薊野１１８番地４,薊野北町四丁目１番１１号
薊野１４６番地１,薊野北町四丁目６番２８－１号
薊野１５９番地１,薊野北町四丁目１４番１５－１１号
薊野１６９番地１３,薊野北町四丁目５番１５号
薊野１８８番地１１,薊野北町四丁目１０番１１－４号
薊野２３９番地１２,薊野北町四丁目２４番９号
薊野２５６番地,薊野北町四丁目２１番３号
薊野２６９番地１,薊野北町四丁目１６番２３－２号
薊野７８２番地２,薊野北町三丁目１３番５号
薊野７９７番地７,薊野北町三丁目１６番３０－５号
薊野８０６番地６,薊野北町三丁目１６番７号
薊野８１９番地５２,薊野北町二丁目３０番６号
薊野８４９番地１,薊野北町二丁目２１番３－８号
薊野８７３番地,薊野北町二丁目１７番１４号
薊野９０４番地,薊野北町二丁目２３番６号
薊野９５２番地４,薊野中町２０番４－２号
薊野９８２番地５,薊野中町１８番５号
薊野１０１１番地,薊野中町２３番３号
薊野１０４１番地１６,薊野中町３３番２２－１３号
薊野１０５８番地,薊野中町３３番１２号
薊野１０７８番地１３,薊野中町３０番６号
薊野１０９２番地４,薊野南町１８番１４号
薊野１１０１番地２,薊野中町３番１５号
薊野１１０５番地,薊野南町１６番３８号
薊野１１１６番地１,薊野中町１０番１８号
薊野１１２８番地１,薊野中町１１番２６号
薊野１１６１番地１,薊野北町二丁目１３番１１号
薊野１１９３番地１,薊野北町二丁目１１番１７－３０１号
薊野１２１３番地,薊野北町二丁目１番３０－４号
薊野１２２１番地１６,薊野北町二丁目３番５号
薊野１２３１番地９,薊野北町二丁目７番１０号
薊野１２４６番地,薊野北町三丁目１１番１０号
薊野１２６０番地１８,薊野北町三丁目３番５号
薊野１３０２番地１１,薊野北町一丁目６番６－５号
薊野１３１７番地１,薊野北町一丁目７番２号
薊野１３６１番地７,薊野西町三丁目３３番１６号
薊野１３７８番地１,薊野中町１番３５号
薊野１３９７番地,薊野南町６番１７－８号
薊野１４０４番地４４,薊野南町５番３号
薊野１４１６番地１５,薊野西町三丁目３６番２０号
薊野１４２６番地,薊野西町三丁目２７番１号
薊野１４３２番地６,薊野西町三丁目２１番１７－７号
薊野１４３４番地３４,薊野西町三丁目２２番７号
薊野１４４４番地６,薊野西町三丁目１３番６－２号
薊野１４４４番地５６,薊野西町三丁目１３番５号
薊野１４６６番地３２,薊野西町二丁目１８番３号
薊野１４７６番地７,薊野西町二丁目１５番２０号
薊野１４８０番地２２,薊野西町二丁目１２番１６号
薊野１４８４番地２６,薊野西町二丁目１１番１０号
薊野１４９０番地７,薊野西町二丁目１０番８号
薊野１５１７番地１５,薊野西町二丁目２４番２１－１号
薊野１５４４番地,薊野西町二丁目５番２－２号
薊野１５５０番地,薊野西町二丁目３番５０号
薊野１５５４番地８,薊野西町二丁目３番４６号
薊野１５５９番地１０,薊野西町三丁目２番５２号
薊野１５６７番地１１,薊野西町三丁目６番１８号
薊野１５６９番地１５,薊野西町三丁目１０番２７号
薊野１５７４番地１３,薊野西町三丁目１２番５号
薊野１５８４番地３０,薊野西町一丁目１６番１４号
薊野１５８４番地７３,薊野西町一丁目１６番５号
薊野１５８４番地１１２,薊野西町一丁目１１番９号
薊野１５９１番地１１,薊野西町一丁目２１番５号
薊野１５９４番地１５,薊野西町一丁目２３番１７号
薊野１５９９番地２,薊野西町一丁目２９番１４号
薊野１６０１番地４９,薊野西町一丁目２８番５号
薊野１６０５番地２,薊野西町一丁目２４番３６－２号
薊野１６２２番地７３,薊野東町８番４４号
薊野１８２８番地２,薊野北町二丁目２４番２８号
薊野２０３３番地１,薊野西町一丁目３番１２号
薊野２０８６番地,薊野西町一丁目７番２号
一宮１番地３,薊野南町２２番７号
一宮１４６番地２,薊野東町１０番７号
一宮３９２１番地１,薊野南町２８番４５号
一宮３９４８番地３５,薊野南町１９番１３号
一宮３９５３番地３８,薊野南町１３番１５号
東秦泉寺９８番地３,薊野西町一丁目３４番１０号
東秦泉寺８３５番地３２,薊野北町三丁目１番４号
長浜９６６番地５,横浜南町２１番５号
横浜９３２番地７,横浜南町７番１１号
横浜１６１０番地１４,横浜南町３番１０号
瀬戸西町二丁目２９４番地,横浜南町６番３号
瀬戸西町三丁目１６０番地４,横浜南町９番２号
朝倉甲１４１７番地１,朝倉西町一丁目１番１号
朝倉丁７１４番地,朝倉西町一丁目５番４８号
朝倉丁８６８番地２４,朝倉西町二丁目６番４号
朝倉丁８９６番地６,朝倉西町二丁目１０番２８－３号
朝倉丁９５８番地５６,朝倉西町二丁目１７番２７号
朝倉丁１０９２番地２,針木北一丁目１１番１０－６号
朝倉丁１２５１番地,針木北二丁目４番２０号
朝倉丁１５３５番地１５,針木本町３８番５－４号
朝倉丁１５５８番地４,針木本町３９番３９号
朝倉丁１５８３番地９,針木本町３４番２３号
朝倉丁１５９７番地１２,針木本町２７番１６号
朝倉丁１６０６番地１１,針木本町３０番３２号
朝倉丁１６１７番地３４,針木本町２１番１３号
朝倉丁１６３４番地７,針木本町１５番４１－６号
朝倉丁１６５２番地４０,針木本町１３番８号
朝倉丁１６７０番地３２,針木本町１９番６号
朝倉丁１８８６番地３０１,朝倉西町二丁目１１番１０－３号
朝倉丁１８９０番地１４８,針木北一丁目８番１９号
朝倉丁１８９９番地４９,針木北一丁目９番１９－８号
朝倉戊１番地１,針木本町９番８号
朝倉戊３８番地１９,針木本町１番２５号
朝倉戊５６番地１,朝倉西町二丁目１６番１２－３１３号
朝倉戊５６番地１,朝倉西町二丁目１６番１２－６１３号
朝倉戊５６番地１,朝倉西町二丁目１６番１２－１１０６号
朝倉戊９６番地,朝倉西町二丁目４番１９号
朝倉戊１１４番地２,朝倉西町二丁目１番２５号
朝倉戊１３１番地１５,朝倉西町一丁目１６番３－２号
朝倉戊１５６番地１４,朝倉西町一丁目５番２８号
朝倉戊１６５番地９,朝倉西町一丁目１３番２号
朝倉戊２６９番地８,朝倉西町一丁目４番３１号
朝倉戊１００３番地,針木南８番１号
朝倉戊１２９２番地,針木南７番１１号
朝倉戊１４８０番地１３１,針木南１４番２７号
朝倉甲３２番地,朝倉東町３０番１号
朝倉甲３２番地,朝倉東町３０番２－５９号
朝倉甲３２番地,朝倉東町３０番４－９８号
朝倉甲３７０番地１０,朝倉東町４７番２５号
朝倉甲３８６番地６,朝倉東町４３番５号
朝倉甲６７８番地２,朝倉東町２３番１４号
朝倉甲６８５番地１,朝倉東町２３番５号
朝倉甲７０５番地,朝倉東町３２番２２号
朝倉甲７４７番地１,鴨部三丁目３３番２２号
朝倉甲８０６番地,鴨部三丁目１３番１５号
朝倉甲８２６番地６,鴨部三丁目１２番２６－１号
朝倉甲８３９番地９,朝倉東町５番１１号
