   朝倉地区（平成５年）

住居表示対照表 （旧新）

（平成５年９月１日住居表示実施）




          旧表示           ページ

 あさくらこう
 朝倉甲            ・ ・ ・    1
あさくらこう
朝倉甲                  実施日 平成５年９月１日

朝倉甲６５３番地１            朝倉横町２２番５号

朝倉甲６５４番地２            朝倉横町２２番３０号

朝倉甲６５４番地５            朝倉横町２２番２９号

朝倉甲６５４番地７            朝倉横町２２番２７号

朝倉甲６５４番地１１           朝倉横町２２番２６号

朝倉甲６５５番地１            朝倉横町２１番８号

朝倉甲６５５番地２            朝倉横町２１番１６号

朝倉甲６５５番地２            朝倉横町２１番１７号

朝倉甲６５５番地３            朝倉横町２１番１４号

朝倉甲６５５番地４            朝倉横町２１番１５号

朝倉甲６５５番地５            朝倉横町２１番１３号

朝倉甲６５５番地６            朝倉横町２１番１２号

朝倉甲６５５番地１１           朝倉横町２１番７号

朝倉甲６５６番地３            朝倉横町１６番５号

朝倉甲６５７番地             朝倉横町１６番４号

朝倉甲６５９番地１            朝倉横町２０番４６号

朝倉甲６５９番地６            朝倉横町２０番４７号

朝倉甲６６０番地７            朝倉横町２０番４９号

朝倉甲６６０番地１３           朝倉横町２０番５１号

朝倉甲６６１番地３            朝倉横町２０番４２号

朝倉甲６６２番地             朝倉横町２０番９－１１号

朝倉甲６６３番地             朝倉横町２０番４１－５号

朝倉甲６６３番地             朝倉横町２０番４１－１２号

朝倉甲６６３番地３            朝倉横町２０番３７号

朝倉甲６６３番地４            朝倉横町２０番４１－８号

朝倉甲６６３番地５            朝倉横町２０番４１－１３号

朝倉甲６６３番地７            朝倉横町２０番４１－７号

朝倉甲６６３番地１０           朝倉横町２０番４０号

朝倉甲６６３番地１０           朝倉横町２０番４１－１号

朝倉甲６６３番地１０           朝倉横町２０番４１－１４号

朝倉甲６６３番地１１           朝倉横町２０番３９号


                 6
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲６６３番地１２           朝倉横町２０番４１－４号

朝倉甲６６３番地１４           朝倉横町２０番４１－１０号

朝倉甲６６３番地１５           朝倉横町２０番４１－９号

朝倉甲６６３番地１７           朝倉横町２０番４１－３号

朝倉甲６６３番地１８           朝倉横町２０番４１－１６号

