  高須地区（昭和57年）

住居表示対照表 （旧新）

（昭和57年８月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 昭和57年８月１日

高須１３８０番地                高須新町四丁目３番７号

高須１３８０番地                高須新町四丁目３番２１号

高須１３８０番地                高須新町四丁目８番７号

高須１３８０番地１               高須新町四丁目８番７号

高須１３８０番地７９              高須新町四丁目８番６号

高須１３８１番地                高須新町二丁目１番２３号

高須１３８１番地                高須新町二丁目１番２４号

高須１３８１番地                高須新町二丁目１番２５号

高須１３８１番地                高須新町二丁目１番２６号

高須１３８１番地                高須新町二丁目１番３１号

高須１３８１番地                高須新町二丁目６番１２号


                    6
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須１３８１番地          高須新町二丁目６番１４号

高須１３８１番地          高須新町四丁目１番２４号

高須１３８１番地          高須新町四丁目１番２６号

高須１３８１番地１         高須新町二丁目５番１０号

高須１３８１番地１         高須新町二丁目５番１４号

高須１３８１番地２         高須新町二丁目６番２０号

高須１３８１番地３         高須新町二丁目６番８号

高須１３８１番地４         高須新町二丁目１番２４号

高須１３８１番地４         高須新町二丁目１番２５号

高須１３８１番地４         高須新町二丁目６番１６号

高須１３８１番地５         高須新町二丁目１番２３号

高須１３８１番地５         高須新町二丁目１番３８号

高須１３８１番地６         高須新町二丁目１番２０号

高須１３８１番地６         高須新町二丁目１番４３号

高須１３８１番地６         高須新町二丁目４番９号

高須１３８１番地７         高須新町二丁目１番４０号

高須１３８１番地７         高須新町二丁目１番４４号

高須１３８１番地８         高須新町二丁目１番１７号

高須１３８１番地８         高須新町二丁目１番４５号

高須１３８１番地８         高須新町二丁目２番１０号

高須１３８１番地９         高須新町二丁目１番４７号

高須１３８１番地９         高須新町二丁目２番１０号

高須１３８１番地３０        高須新町二丁目６番３号

高須１３８１番地３４        高須新町二丁目６番７号

高須１３８１番地３６        高須新町二丁目３番１４号

高須１３８１番地４２        島二丁目８番３３号

高須１３８１番地４２        高須新町四丁目１番１８号

高須１３８１番地４５        高須新町二丁目３番１７号

高須１３８１番地４８        高須新町二丁目３番１３号

高須１３８１番地５０        高須新町二丁目３番１５号

高須１３８１番地５０        高須新町二丁目３番１６号

高須１３８１番地５１        高須新町二丁目６番１７号

高須１３８１番地５１        高須新町二丁目６番１８号

高須１３８１番地５２        高須新町二丁目６番１９号

高須１３８１番地５５        高須新町二丁目３番１５号

高須１３８３番地１９        高須新町一丁目１４番１６号

高須１３８４番地          高須新町四丁目１番８号

高須１３８４番地１         高須新町二丁目４番３号

高須１３８４番地３         高須新町二丁目１番１２号


              7
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須１３８４番地３         高須新町二丁目１番５４号

高須１３８４番地３         高須新町二丁目３番１６号

高須１３８４番地４         高須新町二丁目１番５１号

高須１３８４番地４         高須新町四丁目３番５号

高須１３８４番地４         高須新町四丁目３番２３号

高須１３８４番地５         島四丁目１番１４号

高須１３８４番地５         島四丁目１番１６号

高須１３８４番地６         高須新町一丁目１番３９号

高須１３８４番地６         高須新町一丁目１番４０号

高須１３８４番地６         高須新町二丁目８番１６号

高須１３８４番地３５        高須新町二丁目１番１１号

高須１３８４番地３５        高須新町二丁目１番１３号

高須１３８４番地３６        高須新町二丁目１番１４号

高須１３８４番地３６        高須新町二丁目１番４８号

高須１３８４番地３８        高須新町二丁目１番７号

高須１３８４番地４０        島四丁目１番１１号

高須１３８４番地４１        島四丁目１番１２号

高須１３８５番地          高須新町二丁目８番８号

高須１３８５番地          高須新町二丁目８番１８号

高須１３８５番地          高須新町二丁目８番１９号

高須１３８５番地１         高須新町二丁目１５番９号

高須１３８５番地イ         高須新町二丁目８番１９号

高須１３８６番地          高須新町二丁目２番１６号

高須１３８６番地          高須新町二丁目１４番１号

高須１３８６番地          高須新町二丁目１４番３号

高須１３８６番地          高須新町二丁目１４番４号

高須１３８６番地          高須新町二丁目１４番５号

高須１３８６番地          高須新町二丁目１５番１７号

高須１３８６番地１         高須新町二丁目８番９号

高須１３８６番地１         高須新町二丁目１３番５号

高須１３８６番地１         高須新町二丁目１３番２１号

高須１３８６番地１         高須新町二丁目１３番２２号

高須１３８６番地１         高須新町二丁目１５番１８号

高須１３８６番地４         高須新町二丁目１４番９号

高須１３８６番地４         高須新町二丁目１４番２０号

高須１３８６番地５         高須新町二丁目６番１１号

高須１３８６番地５         高須新町二丁目１３番１１号

高須１３８６番地６         高須新町二丁目１４番２１号

高須１３８６番地７         高須新町二丁目７番１６号


              8
たかす
高須                実施日 昭和57年８月１日

      旧 表 示            新 表 示
高須１３８６番地８         高須新町二丁目４番５号

高須１３８６番地９         高須新町二丁目６番６号

高須１３８６番地９         高須新町二丁目７番５号

高須１３８６番地９         高須新町二丁目７番６号

高須１３８６番地９         高須新町四丁目１番２９号

高須１３８６番地１０        高須新町二丁目７番８号

高須１３８６番地１０        高須新町二丁目１３番６号

高須１３８６番地１０        高須新町二丁目１４番１８号

高須１３８６番地１１        高須新町二丁目１３番５号

高須１３８６番地１３        高須新町二丁目１２番１５号

高須１３８６番地１３        高須新町二丁目１５番１２号

高須１３８６番地１５        高須新町二丁目１３番１８号

高須１３８６番地１５        高須新町二丁目１４番７号

高須１３８６番地１７        高須新町二丁目１５番１０号

高須１３８６番地２１        高須新町二丁目１４番２号

高須１３８６番地２２        高須新町二丁目１４番６号

高須１３８６番地２６        高須新町二丁目１５番１７号

高須１３８６番地２７        高須新町二丁目１５番１１号

高須１３８６番地３０        高須新町二丁目７番１４号

高須１３８７番地          高須新町二丁目１４番１５号

高須１３８７番地１         高須新町二丁目１４番１３号

高須１３８７番地１         高須新町二丁目１４番１５号

高須１３８７番地１         高須新町二丁目１４番１９号

高須１３８８番地          高須新町二丁目１４番１０号

高須１３８８番地１         高須新町二丁目１４番１０号

高須１３８８番地１         高須新町二丁目１４番１１号

高須１３８８番地１         高須新町二丁目１４番１２号

高須１３８９番地１         高須新町二丁目１４番９号

高須１３９２番地１         高須新町二丁目１５番５号

高須１３９３番地          高須新町二丁目１６番１１号

高須１３９３番地          高須新町二丁目１６番１２号

高須１３９３番地          高須新町二丁目１６番１４号

高須１３９３番地          高須新町二丁目１６番１８号

高須１３９３番地５         高須新町二丁目１番１７号

