  高須地区（平成15年）

住居表示対照表 （旧新）

（平成15年３月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 平成１５年 ３月 １日

高須６２５番地３          高須新木６番４６号

高須６２８番地           高須新木６番４５号

高須６２９番地           高須新木６番４４－５号

高須６３１番地           高須新木６番４４－１号

高須６３３番地           高須新木６番４３号

高須６３４番地           高須新木６番１３号

高須６３４番地           高須新木６番４１号

高須６３７番地           高須新木６番４０号

高須６４１番地           高須新木６番３８号

高須６４２番地           高須新木６番３７号

高須６４３番地２          高須新木６番３８号

高須６４４番地           高須新木６番３９－１号

高須６４４番地           高須新木６番３９－２号

高須６４５番地           高須新木６番３６－２号

高須６４６番地１          高須新木６番３６－３号

高須６４６番地２          高須新木６番３６－４号

高須６４７番地           高須新木６番３５号

高須６４７番地           高須新木６番３６－６号

高須６４８番地           高須新木６番３４号

高須６４９番地３          高須新木６番３３号

高須６５１番地           高須新木６番３２号

高須６５３番地           高須新木６番３０号

高須６５３番地           高須三丁目１５番７号

高須６５５番地           高須新木７番２９号


              8
たかす
高須                実施日 平成１５年 ３月 １日

      旧 表 示            新 表 示
高須６５５番地１          高須三丁目１６番５号

高須６５５番地１          高須三丁目１６番２４号

高須６５５番地１          高須三丁目３８番２４－６号

高須６５５番地６          高須三丁目１６番１号

高須６５６番地           高須新木７番２４号

高須６５６番地１          高須新木７番２８号

高須６５６番地６          高須新木７番２０号

高須６５６番地６          高須新木７番２１号

高須６５６番地７          高須新木７番２２号

高須６５７番地           高須三丁目３８番２号

高須６５７番地５          高須三丁目３８番２７号

高須６５７番地５          高須三丁目３８番２８号

高須６５７番地６          高須三丁目３８番２６号

高須６５７番地７          高須三丁目３８番２６号

高須６５９番地２          高須三丁目１６番１１号

高須６５９番地９          高須三丁目１６番２０号

高須６５９番地１１         高須三丁目１６番２１号

高須６６０番地４          高須三丁目３８番２２－１１号

高須６６０番地６          高須三丁目３８番２２－１０号

高須６６０番地８          高須三丁目３８番２２－９号

高須６６０番地１０         高須三丁目３８番２２－８号

高須６６０番地１２         高須三丁目３８番２２－７号

高須６６０番地１５         高須三丁目３８番２１号

高須６６０番地１７         高須三丁目３８番２２－２号

高須６６０番地１９         高須三丁目３８番２２－３号

高須６６０番地２１         高須三丁目３８番２２－４号

高須６６０番地３１         高須三丁目３８番２４－８号

高須６６０番地３２         高須三丁目３８番２５号

高須６６０番地３４         高須三丁目３８番２４－７号

高須６６０番地３５         高須三丁目３８番２４－９号

高須６６１番地１          高須三丁目３８番１７号

高須６６１番地５          高須三丁目３８番１８号

高須６６１番地１０         高須三丁目３８番１９号

高須６６１番地１４         高須三丁目３８番１６号

高須６６２番地１          高須三丁目１６番１７号

高須６６２番地３          高須三丁目１６番１６号

高須６６２番地４          高須三丁目１６番１２号

高須６６２番地１１         高須三丁目１６番１５号

高須６６２番地１２         高須三丁目１６番１３号


              9
たかす
高須                 実施日 平成１５年 ３月 １日

      旧 表 示             新 表 示
高須６６２番地１３          高須三丁目１６番１４号

高須６６３番地２           高須三丁目１７番５号

高須６６３番地４           高須三丁目１７番３号

高須６６３番地４           高須三丁目１７番４号

高須６６３番地５           高須三丁目１７番２号

高須６６４番地１           高須三丁目３７番５号

高須６６４番地４           高須三丁目３７番１号

高須６６４番地７           高須三丁目３７番２号

高須６６４番地９           高須三丁目３７番３号

高須６６４番地１０          高須三丁目３７番４号

高須６６５番地１           高須三丁目３７番１０号

高須６６５番地３           高須三丁目３７番１５号

高須６６５番地４           高須三丁目３７番１３号

高須６６５番地５           高須三丁目３７番１１号

高須６６５番地６           高須三丁目３７番１２号

高須６６５番地７           高須三丁目３７番１４号

高須６６６番地１           高須三丁目１７番１号

高須６６６番地３           高須三丁目１７番９号

高須６６６番地４           高須三丁目１７番６号

高須６６６番地１０          高須三丁目１７番１１号

高須６６６番地１１          高須三丁目１７番１０号

高須６６７番地８           高須三丁目１８番１３号

高須６６７番地１０          高須三丁目１８番２号

高須６６７番地１１          高須三丁目１８番３号

高須６６８番地            高須三丁目３６番４号

高須６６８番地１           高須三丁目３６番５号

高須６６８番地４           高須三丁目３６番２号

高須６６８番地５           高須三丁目３６番１号

高須６６８番地７           高須三丁目３７番１４号

高須６６８番地１１          高須三丁目３６番４号

高須６６８番地１２          高須三丁目３６番３号

高須６６９番地１           高須三丁目３６番９号

高須６６９番地１           高須三丁目３６番１０号

高須６６９番地１           高須三丁目３６番１１号

高須６６９番地４           高須三丁目３６番１２号

高須６６９番地４           高須三丁目３６番１４号

高須６６９番地５           高須三丁目３６番１３号

高須６７０番地１           高須三丁目１８番７号

高須６７０番地３           高須三丁目１８番１０号


              10
たかす
高須                 実施日 平成１５年 ３月 １日

      旧 表 示             新 表 示
高須６７０番地６           高須三丁目１８番１１号

高須６７１番地１           高須三丁目１８番８号

高須６７３番地３           高須三丁目３５番１６号

高須６７３番地４           高須三丁目３５番２号

高須６７３番地５           高須三丁目３５番３号

高須６７３番地６           高須三丁目３５番４号

高須６７３番地１０          高須三丁目３５番１１－４号

高須６７３番地１１          高須三丁目３５番１３号

高須６７３番地１２          高須三丁目３５番１２号

高須６７３番地１３          高須三丁目３５番５号

高須６７３番地１３          高須三丁目３５番１６号

高須６７４番地            高須三丁目１９番３号

高須６７４番地１           高須三丁目１９番３号

高須６７４番地６           高須三丁目１９番１号

高須６７４番地６           高須三丁目１９番２号

高須６７４番地８           高須三丁目１９番１０－１号

高須６７４番地８           高須三丁目１９番１０－２号

高須６７４番地８           高須三丁目１９番１０－３号

高須６７４番地８           高須三丁目１９番１１号

高須６７４番地１１          高須三丁目１９番１４号

高須６７４番地１３          高須三丁目１９番６号

高須６７５番地９           高須三丁目１９番８号

高須６７６番地７           高須三丁目３５番１４号

