   朝倉地区（平成３年）

住居表示対照表 （旧新）

（平成３年５月１日住居表示実施）




         旧表示           ページ

 あさくらぼ
 朝倉戊           ・ ・ ・    1
 あさくらき
 朝倉己           ・ ・ ・    6
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

朝倉戊１０９４番地５２         針木東町１１番１号

朝倉戊１０９４番地５３         針木東町１１番２号

朝倉戊１０９４番地５４         針木東町５番９号

朝倉戊１０９４番地５５         針木東町５番５号

朝倉戊１０９４番地５６         針木東町５番２号

朝倉戊１０９４番地５７         針木東町４番１２号

朝倉戊１０９４番地５８         針木東町４番１０号

朝倉戊１０９４番地５９         針木東町４番９号

朝倉戊１０９４番地６０         針木東町４番３号

朝倉戊１０９４番地６１         針木東町４番２号

朝倉戊１０９４番地６２         針木東町４番１４号

朝倉戊１０９４番地６３         針木東町３番１２号

朝倉戊１０９４番地６４         針木東町３番１０号

朝倉戊１０９４番地６５         針木東町３番９号

朝倉戊１０９４番地６６         針木東町３番３号

朝倉戊１０９４番地６７         針木東町３番２号

朝倉戊１０９４番地６８         針木東町３番１４号

朝倉戊１０９４番地７７         針木東町２番１２号

朝倉戊１０９４番地７９         針木東町２番５号

朝倉戊１０９４番地８０         針木東町２番２号

朝倉戊１１２１番地           針木東町７番５８号

朝倉戊１１２２番地１          針木東町７番３５－２号

朝倉戊１１２２番地３          針木東町７番３２号

朝倉戊１１２２番地７          針木東町７番３４号

朝倉戊１１２２番地８          針木東町７番３５－５号

朝倉戊１１２２番地１１         針木東町７番３５－３号

朝倉戊１１２４番地１          針木東町７番３５－７号

朝倉戊１１２５番地４          針木東町７番５５号

朝倉戊１１２８番地５          針木東町７番５１号

朝倉戊１１３７番地２          針木東町７番４１号

朝倉戊１１３７番地６          針木東町７番３９号

朝倉戊１１４４番地１          針木東町２６番６４号


                5
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊１１４６番地           針木東町２６番６６号

朝倉戊１１４７番地１０         針木東町８番２０号

朝倉戊１１４７番地１１         針木東町８番１９号

朝倉戊１１４８番地４          針木東町８番２６号

朝倉戊１１４８番地５          針木東町８番２５号

朝倉戊１１４８番地６          針木東町８番２７号

朝倉戊１１４９番地５          針木東町８番９号

朝倉戊１１４９番地７          針木東町８番８号

朝倉戊１１４９番地８          針木東町８番１１号

朝倉戊１１４９番地１４         針木東町８番１３号

朝倉戊１１５０番地６          針木東町２６番７６号

朝倉戊１１５０番地７          針木東町２６番７５号

朝倉戊１１５０番地８          針木東町２６番７５号

朝倉戊１１５０番地９          針木東町２６番７号

朝倉戊１１５０番地９          針木東町２６番７４号

朝倉戊１１５１番地３          針木東町２６番７１号

朝倉戊１１６４番地１          針木東町２６番５８号

朝倉戊１１６６番地１          針木東町２６番５４号

朝倉戊１１７０番地１          針木東町２６番５０号

朝倉戊１１７０番地５          針木東町２６番４９号

朝倉戊１１７０番地５          針木東町２６番５１号

朝倉戊１１７６番地２          針木東町２２番２３号

朝倉戊１１７６番地３          針木東町２２番２１号

朝倉戊１１７６番地４          針木東町２２番１９号

朝倉戊１１７６番地５          針木東町２２番１７号

朝倉戊１１７６番地８          針木東町２２番３号

朝倉戊１１７６番地９          針木東町２２番４号

朝倉戊１１７６番地１０         針木東町２２番５号

朝倉戊１１７６番地１１         針木東町２２番６号

朝倉戊１１７６番地１３         針木東町２２番２２号

朝倉戊１１７８番地５          針木東町２２番１６号

朝倉戊１１７８番地６          針木東町２２番１５号

朝倉戊１１７８番地７          針木東町２２番１１号

朝倉戊１１７８番地８          針木東町２２番９号

朝倉戊１１７８番地９          針木東町２２番７号

朝倉戊１１７８番地１０         針木東町２１番９号

朝倉戊１１７８番地１１         針木東町２１番１４号

朝倉戊１１７８番地１３         針木東町２１番７号

朝倉戊１１７８番地１４         針木東町２１番６号


                6
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊１１７８番地１７         針木東町２０番１２号

朝倉戊１１７８番地１８         針木東町２０番１４号

朝倉戊１１７８番地１９         針木東町２０番８号

朝倉戊１１７８番地２０         針木東町２０番７号

朝倉戊１１７８番地２１         針木東町２３番２１号

朝倉戊１１７８番地２２         針木東町２３番２３号

朝倉戊１１７８番地２３         針木東町２３番２５号

朝倉戊１１７８番地２５         針木東町１９番１４号

朝倉戊１１７８番地２６         針木東町１９番１３号

朝倉戊１１７８番地２７         針木東町１９番８号

朝倉戊１１７８番地２８         針木東町１９番６号

朝倉戊１１７８番地３３         針木東町１８番１２号

朝倉戊１１７８番地３５         針木東町２３番２９号

朝倉戊１１７８番地３６         針木東町２３番２７号

朝倉戊１１７８番地３７         針木東町２３番２４号

朝倉戊１１７８番地３８         針木東町２２番１４号

朝倉戊１１８０番地２          針木東町２１番１６号

朝倉戊１１８０番地３          針木東町２１番１７号

朝倉戊１１８０番地４          針木東町２１番１８号

朝倉戊１１８０番地５          針木東町２１番１９号

朝倉戊１１８０番地６          針木東町２１番２１号

朝倉戊１１８０番地７          針木東町２６番５号

朝倉戊１１８０番地８          針木東町２２番１号

朝倉戊１１８５番地           針木東町２１番５号

朝倉戊１１８５番地５          針木東町２１番２２号

朝倉戊１１８５番地６          針木東町２１番２号

朝倉戊１１８５番地７          針木東町２１番４号

朝倉戊１１８５番地１０         針木東町９番１２号

朝倉戊１１８５番地１１         針木東町９番９号

朝倉戊１１８５番地１２         針木東町２０番２１号

朝倉戊１１８５番地１３         針木東町２０番１８号

朝倉戊１１８５番地１４         針木東町２０番１７号

朝倉戊１１８５番地１５         針木東町２０番１５号

朝倉戊１１８５番地１６         針木東町２０番５号

朝倉戊１１８５番地１７         針木東町２０番４号

朝倉戊１１８５番地１８         針木東町２０番２号

朝倉戊１１８５番地１９         針木東町２０番２２号

朝倉戊１１８７番地           針木東町９番２０号

朝倉戊１１８７番地５          針木東町８番１号


                7
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊１１８７番地６          針木東町８番４号

