        仁井田地区

住居表示対照表 （旧新）

（平成８年２月１日住居表示実施）




       旧表示           ページ

 にいだ
 仁井田         ・ ・ ・    1
にいだ
仁井田               実施日 平成８年２月１日

仁井田２４６３番地         十津一丁目１番７６号

仁井田２４６３番地４        十津一丁目１番７９号

仁井田２４６３番地４        十津一丁目１番８０号

仁井田２４６３番地４        十津一丁目１番８１号

仁井田２４６３番地５        十津一丁目１番８４号

仁井田２４６３番地１２       十津一丁目１番７３号

仁井田２４６３番地１４       十津一丁目１番７５号

仁井田２４６３番地１５       十津一丁目１番７３号

仁井田２４６５番地２        十津一丁目１番７９号

仁井田２４６８番地         十津一丁目１番７７号

仁井田２４６９番地４        十津一丁目１番１６号

仁井田２４６９番地５        十津一丁目７番２１号

仁井田２４６９番地６        十津一丁目１番２５号

仁井田２４６９番地７        十津一丁目１番２０号

仁井田２４６９番地８        十津一丁目１番２４号

仁井田２４６９番地９        十津一丁目１番２３号

仁井田２４６９番地１０       十津一丁目１番２２号

仁井田２４６９番地１１       十津一丁目１番２１号

仁井田２４６９番地１２       十津一丁目７番１号

仁井田２４６９番地１３       十津一丁目７番２号


              8
にいだ
仁井田               実施日 平成８年２月１日

      旧 表 示            新 表 示
仁井田２４６９番地１４       十津一丁目７番２２号

仁井田２４６９番地１５       十津一丁目１番１９号

仁井田２４６９番地１６       十津一丁目１番１７号

仁井田２４６９番地１７       十津一丁目１番１８号

仁井田２４７１番地２        十津一丁目８番２０号

仁井田２４７１番地３        十津一丁目７番３号

仁井田２４７１番地５        十津一丁目８番１９号

仁井田２４７１番地８        十津一丁目７番４号

仁井田２４７１番地１１       十津一丁目７番７号

仁井田２４７１番地１１       十津一丁目７番８号

仁井田２４７１番地１６       十津一丁目８番１８号

仁井田２４７１番地１７       十津一丁目８番１７号

仁井田２４７１番地１８       十津一丁目８番１６号

仁井田２４７１番地１９       十津一丁目８番１４号

仁井田２４７１番地２０       十津一丁目８番１５号

