   朝倉地区（平成４年）

住居表示対照表 （旧新）

（平成４年９月１日住居表示実施）




         旧表示           ページ

 あさくらぼ
 朝倉戊           ・ ・ ・    1
 あさくらき
 朝倉己           ・ ・ ・    6
あさくらぼ
朝倉戊                 実施日 平成４年９月１日

        旧 表 示            新 表 示
朝倉戊１２３０番地９          大谷公園町１７番３４号

朝倉戊１２３０番地１１         大谷公園町１７番３１号

朝倉戊１２３０番地２３         大谷公園町１７番２５－１６号

朝倉戊１２３０番地２４         大谷公園町１７番３０号

朝倉戊１２３０番地２７         大谷公園町１７番２５－１７号

朝倉戊１２３０番地２８         大谷公園町１７番２５－１０号

朝倉戊１２３０番地２９         大谷公園町１７番２５－１２号

朝倉戊１２３０番地３５         大谷公園町１７番２５－１３号

朝倉戊１２３２番地２          大谷公園町１７番１３号

朝倉戊１２３４番地１          大谷公園町１７番１８号

朝倉戊１２３６番地２          大谷公園町１７番２３号

朝倉戊１２３８番地２          大谷公園町１７番２５－５号


                4
あさくらぼ
朝倉戊                 実施日 平成４年９月１日

        旧 表 示            新 表 示
朝倉戊１２３８番地３          大谷公園町１７番１３号

朝倉戊１２３８番地４          大谷公園町１７番２５－６号

朝倉戊１２３８番地６          大谷公園町１７番２５－４号

朝倉戊１２３８番地７          大谷公園町１７番２５－３号

朝倉戊１２３８番地８          大谷公園町１７番２５－２号

朝倉戊１２４５番地１          大谷公園町２０番２３－３号

朝倉戊１２４５番地１          大谷公園町２０番２３－４号

朝倉戊１２４５番地１          大谷公園町２０番２３－１１号

朝倉戊１２４５番地４          大谷公園町２０番２３－２号

朝倉戊１２４５番地６          大谷公園町２０番２３－５号

朝倉戊１２４５番地７          大谷公園町２０番２３－１号

朝倉戊１２４５番地８          大谷公園町２０番２３－１２号

朝倉戊１２４５番地９          大谷公園町２０番２３－１０号

朝倉戊１２４５番地１１         大谷公園町２０番２３－９号

朝倉戊１２４５番地１２         大谷公園町２０番２３－８号

朝倉戊１２４５番地１３         大谷公園町２０番２３－７号

朝倉戊１２４５番地１４         大谷公園町２０番２３－６号

朝倉戊１４２４番地           大谷公園町１６番３３号

朝倉戊１４６８番地           大谷公園町１６番４０号

朝倉戊１４６８番地３          大谷公園町１６番３８号

朝倉戊１４６８番地４          大谷公園町１６番３６号

朝倉戊１４６８番地７          大谷公園町１６番２７号

朝倉戊１４６８番地５６         大谷公園町１６番３３号




                5
あさくらき
朝倉己                 実施日 平成４年９月１日

        旧 表 示            新 表 示
朝倉己１３７番地１           大谷公園町１５番９号

朝倉己１３８番地２           大谷公園町１５番９号

朝倉己１４３番地２           大谷公園町１５番３号

朝倉己１１４９番地           大谷公園町１９番３０号

朝倉己１１４９番地８５         大谷公園町１９番３０号




                6

